Obchodný deň;Perióda;Cena SK (EUR/MWh);Dopyt úspešný (MWh);Ponuka úspešná (MWh);Tok CZ ➝ SK (MWh);Tok SK ➝ CZ (MWh);Tok PL ➝ SK (MWh);Tok SK ➝ PL (MWh);Tok HU ➝ SK (MWh);Tok SK ➝ HU (MWh);Stav zverejnenia
22.6.2025;1;108,80;504,0;1536,3;154,1;0,0;327,2;0,0;0,0;1513,6;Konečné
22.6.2025;2;101,02;452,4;1466,6;148,4;0,0;413,1;0,0;0,0;1575,7;Konečné
22.6.2025;3;96,61;481,8;1500,0;76,6;0,0;358,8;0,0;0,0;1453,6;Konečné
22.6.2025;4;92,86;458,6;1495,8;0,6;0,0;283,3;0,0;0,0;1321,1;Konečné
22.6.2025;5;90,61;455,8;1513,7;0,0;63,5;231,9;0,0;0,0;1226,3;Konečné
22.6.2025;6;88,24;429,3;1520,6;0,0;119,1;125,1;0,0;0,0;1097,3;Konečné
22.6.2025;7;73,18;395,2;1462,4;0,0;188,0;0,0;18,6;0,0;860,6;Konečné
22.6.2025;8;26,44;443,0;1425,7;0,0;373,6;0,0;192,5;0,0;416,6;Konečné
22.6.2025;9;0,00;564,9;1380,6;0,0;144,2;336,9;0,0;0,0;1008,4;Konečné
22.6.2025;10;-0,09;687,6;1319,5;0,0;56,3;493,9;0,0;0,0;1069,5;Konečné
22.6.2025;11;-11,11;738,8;1094,6;53,1;0,0;687,3;0,0;0,0;1096,2;Konečné
22.6.2025;12;-37,71;777,4;503,3;450,1;0,0;1246,5;0,0;0,0;1422,5;Konečné
22.6.2025;13;-63,40;718,3;405,2;316,0;0,0;931,5;0,0;0,0;934,4;Konečné
22.6.2025;14;-88,42;630,9;402,2;375,4;0,0;956,9;0,0;0,0;1103,6;Konečné
22.6.2025;15;-72,10;581,8;378,7;532,3;0,0;1061,2;0,0;0,0;1390,4;Konečné
22.6.2025;16;-35,20;568,8;386,0;552,6;0,0;1165,9;0,0;0,0;1535,7;Konečné
22.6.2025;17;-3,83;613,4;955,0;422,2;0,0;739,2;0,0;0,0;1503,0;Konečné
22.6.2025;18;17,21;723,4;1214,3;253,4;0,0;659,2;0,0;0,0;1403,5;Konečné
22.6.2025;19;96,43;829,3;1284,7;362,4;0,0;472,0;0,0;0,0;1289,8;Konečné
22.6.2025;20;126,25;930,4;1650,3;164,4;0,0;83,7;0,0;0,0;968,0;Konečné
22.6.2025;21;145,42;1038,0;1841,0;201,4;0,0;0,0;10,2;0,0;994,2;Konečné
22.6.2025;22;139,34;970,3;1900,9;93,4;0,0;0,0;216,1;0,0;807,9;Konečné
22.6.2025;23;126,49;795,2;1806,5;160,6;0,0;141,6;0,0;0,0;1313,5;Konečné
22.6.2025;24;101,63;621,6;1606,3;268,1;0,0;506,3;0,0;0,0;1759,1;Konečné
